airlineIATA,destinationIATA,flightNumber,flightNature,flightTypeIATA,scheduleDate,scheduleHour,seatCapacity,sector,terminal,pax,loadFactor,warnings,Country,EU Status,CTA Status,AircraftSizeICAO,PaxLoadFactor,LocalPax,HasWarnings,LowLoadFactor,HighLoadFactor
FR,SZG,305,A,J,2024-12-04,17:55:00,197,I,T1,186.09307936507938,0.9446349206349207,,AUSTRIA,EU,NON CTA,C,0.9446349206349207,186.09307936507938,False,False,False
FR,ZAG,2189,A,J,2024-12-04,18:00:00,186,I,T1,184.64866666666668,0.9927347670250897,,CROATIA,EU,NON CTA,C,0.9927347670250897,184.64866666666668,False,False,False
FR,FMM,2405,A,J,2024-12-04,18:00:00,189,I,T1,158.12199999999999,0.8366243386243385,,GERMANY,EU,NON CTA,C,0.8366243386243385,158.12199999999999,False,False,False
FR,LUX,2861,A,J,2024-12-04,18:05:00,197,I,T1,152.80930247544947,0.7756817384540582,Pax: 29 flights have been used for reference,LUXEMBOURG,EU,NON CTA,C,0.7756817384540582,152.80930247544947,True,False,False
ZT,LPL,527P,A,P,2024-12-04,18:10:00,0,D,T1,0,0,,GREAT BRITAIN,DOMESTIC,DOMESTIC,C,0,0,False,True,False
FR,RIX,2643,A,J,2024-12-04,18:20:00,197,I,T1,194.8080687830688,0.988873445599334,Pax: 2 flights have been used for reference,LATVIA,EU,NON CTA,C,0.988873445599334,194.8080687830688,True,False,False
FR,REG,5410,A,J,2024-12-04,18:25:00,189,I,T1,134.2099511355009,0.7101055615634968,Pax: 32 flights have been used for reference,ITALY,EU,NON CTA,C,0.7101055615634968,134.2099511355009,True,False,False
FR,HHN,1748,A,J,2024-12-04,18:35:00,189,I,T1,162.5865035091741,0.8602460503130904,Pax: 2 flights have been used for reference,GERMANY,EU,NON CTA,C,0.8602460503130904,162.5865035091741,True,False,False
FR,CPH,7383,A,J,2024-12-04,18:45:00,189,I,T1,181.32270087804875,0.9593793697251257,Pax: 2 flights have been used for reference,DENMARK,EU,NON CTA,C,0.9593793697251257,181.32270087804875,True,False,False
FR,MAD,5995,A,J,2024-12-04,18:50:00,189,I,T1,186.5747918781726,0.9871682109956222,,SPAIN,EU,NON CTA,C,0.9871682109956222,186.5747918781726,False,False,False
EC,AMS,7843,A,J,2024-12-04,19:00:00,195,I,T1,198.9,1.02,Pax: Seat capacity is 86 seats more than reference flight seat capacity; Pax: Flight load factor is 35.0 percentage points lower than reference flight load factor,NETHERLANDS,EU,NON CTA,C,1.02,198.9,True,False,True
FR,BSL,4181,A,J,2024-12-04,19:00:00,189,I,T1,146.29978673393668,0.7740729456822046,Pax: 31 flights have been used for reference,SWITZERLAND,NON EU,NON CTA,C,0.7740729456822046,146.29978673393668,True,False,False
FR,KRK,2433,A,J,2024-12-04,19:00:00,197,I,T1,161.78703703703704,0.8212539951118631,Pax: Flight # has changed from 2435 to 2433,POLAND,EU,NON CTA,C,0.8212539951118631,161.78703703703704,True,False,False
FR,DUB,255,A,J,2024-12-04,19:00:00,189,I,T1,183.8665076142132,0.9728386646254666,Pax: Flight # has changed from 211 to 255,IRISH REPUBLIC,EU,CTA,C,0.9728386646254666,183.8665076142132,True,False,False
FR,MLA,4207,A,J,2024-12-04,19:10:00,189,I,T1,192.78,1.02,,MALTA,EU,NON CTA,C,1.02,192.78,False,False,True
FR,SZZ,2467,A,J,2024-12-04,19:10:00,189,I,T1,157.77599999999998,0.8347936507936508,,POLAND,EU,NON CTA,C,0.8347936507936508,157.77599999999998,False,False,False
FR,CGN,2813,A,J,2024-12-04,19:20:00,197,I,T1,188.96908994708997,0.959233959122284,,GERMANY,EU,NON CTA,C,0.959233959122284,188.96908994708997,False,False,False
FR,PMO,3919,A,J,2024-12-04,19:30:00,197,I,T1,200.94,1.02,Pax: 26 flights have been used for reference,ITALY,EU,NON CTA,C,1.02,200.94,True,False,True
FR,VIE,731,A,J,2024-12-04,19:35:00,189,I,T1,172.49589151103567,0.9126766746615643,,AUSTRIA,EU,NON CTA,C,0.9126766746615643,172.49589151103567,False,False,False
U2,BFS,45,A,J,2024-12-04,19:40:00,186,D,T1,132.17732307692307,0.7106307692307693,Pax: Flight load factor is 24.3 percentage points greater than reference flight load factor,GREAT BRITAIN,DOMESTIC,DOMESTIC,C,0.7106307692307693,132.17732307692307,True,False,False
FR,BUD,2517,A,J,2024-12-04,19:40:00,189,I,T1,169.54000000000002,0.8970370370370371,,HUNGARY,EU,NON CTA,C,0.8970370370370371,169.54000000000002,False,False,False
LS,TFS,1536,A,J,2024-12-04,20:00:00,189,I,T1,178.882,0.9464656084656085,Pax: Flight # has changed from 1664 to 1536,SPAIN,EU,NON CTA,C,0.9464656084656085,178.882,True,False,False
U2,EDI,317,A,J,2024-12-04,20:10:00,186,D,T1,163.65800000000002,0.8798817204301076,,GREAT BRITAIN,DOMESTIC,DOMESTIC,C,0.8798817204301076,163.65800000000002,False,False,False
FR,ORK,902,A,J,2024-12-04,20:15:00,189,I,T1,164.66087309644672,0.8712215507748503,Pax: Flight # has changed from 906 to 902; Pax: Flight load factor is 26.3 percentage points greater than reference flight load factor,IRISH REPUBLIC,EU,CTA,C,0.8712215507748503,164.66087309644672,True,False,False
FR,LIS,1885,A,J,2024-12-04,20:15:00,189,I,T1,187.55209032258065,0.9923391022358764,,PORTUGAL,EU,NON CTA,C,0.9923391022358764,187.55209032258065,False,False,False
RK,VNO,542,A,J,2024-12-04,20:20:00,189,I,T1,151.202,0.800010582010582,Pax: 2 flights have been used for reference,LITHUANIA,EU,NON CTA,C,0.800010582010582,151.202,True,False,False
FR,TRN,467,A,J,2024-12-04,20:20:00,197,I,T1,200.94,1.02,Pax: 2 flights have been used for reference,ITALY,EU,NON CTA,C,1.02,200.94,True,False,True
